index,Skip,Prompts,LoRA,Add,sd_model_checkpoint
7,TRUE,"masterpiece, best quality, 1girl, solo, long_hair, from top, light smile, panorama, perspective, looking_at_viewer, bangs, skirt, shirt, pink hair, colored inner hair, long_sleeves, bow, ribbon, twintails, hair_bow, heart, pantyhose, frills, shoes, choker, blunt_bangs, black_skirt, pink_eyes, frilled_skirt, pink_bow, platform_footwear, pink_theme, jirai_kei, full body, night, street, skyscraper, neon trim, panorama, perspective, starry sky, pink background, dark, shadow, <lora:animetarotV51:1>",animetarotV51.safetensors,,lyriel_v14.safetensors
8,TRUE,"nikon RAW photo,8 k,Fujifilm XT3,masterpiece, best quality, 1girl,solo,realistic, photorealistic,ultra detailed, diamond stud earrings, long straight black hair, hazel eyes, serious expression, slender figure, wearing a black blazer and white blouse, standing against a city skyline at night iu1, <lora:iu_v35:1>",iu_v35.safetensors,,lyriel_v14.safetensors
9,TRUE,"sam yang, 1girl, backlighting, bare shoulders, black choker, blurry, blurry background, blush, breasts, choker, cleavage, closed mouth, collarbone, earrings, forehead, freckles, hair over shoulder, jewelry, long hair, looking down, pointy nose, red lips, shadow, solo, thick eyebrows, thick eyelashes, upper body, white hair , ((masterpiece)) <lora:sam_yang_offset_right_filesize:1>",sam_yang_offset_right_filesize.safetensors,,lyriel_v14.safetensors
10,TRUE,"masterpiece, best quality, 1girl, solo, long_hair, looking_at_viewer, smile, bangs, skirt, shirt, long_sleeves, hat, dress, bow, holding, closed_mouth, flower, frills, hair_flower, petals, bouquet, holding_flower, center_frills, bonnet, holding_bouquet, flower field, flower field, lineart, monochrome, <lora:animeoutlineV4_16:1>",animeoutlineV4_16.safetensors,,lyriel_v14.safetensors
11,TRUE,"ghibli style, san \(mononoke hime\), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facepaint, floating hair, forest, fur cape, green eyes, jewelry, looking at viewer, medium breasts, nature, necklace, outdoors, parted bangs, shirt, short hair, sleeveless, sleeveless shirt, solo, tooth necklace, tree, upper body, white shirt , ((masterpiece)) <lora:ghibli_style_offset:1.07>",ghibli_style_offset.safetensors,,lyriel_v14.safetensors
12,TRUE,"shz,((best quality)), ((masterpiece)), (detailed), realistic, multiple boys,(riding horse),mustache, looking at viewer, outdoors,house, amy,horse,<lora:xrs2.0:0.8>",xrs2.0.safetensors,<lora:xrs2.0:0.8>,lyriel_v14.safetensors
13,TRUE,"<lora:hipoly3DModelLora_v20:0.6>, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelry, ornament, flower, lace trim, masterpiece, best quality, 8k, detailed skin texture, detailed cloth texture, beautiful detailed face, intricate details, ultra detailed, rim lighting, side lighting, cinematic light, ultra high res, 8k uhd, film grain,best shadow, delicate, RAW",hipoly_3dcg_v7-epoch-000012.safetensors,,lyriel_v14.safetensors
14,TRUE,"(masterpiece, realistic:1.4), (extremely intricate:1.2)>, close shot , portrait,(upper body:1.2), (from front:1.3), 191971 dress, backless dress, (long dress:1.2), very long hair, breasts, bare shoulders, sky, ocean, water, looking at viewer, italian, head tilt, wind, cloud, sunlight, outdoor, 1girl, solo, BREAK, cinematic light, ultra high res, 8k uhd, film grain, perfect anatomy, exquisitely detailed skin, best shadow, delicate, RAW,highres,<lora:try2:0.8>",Colorwater_v4.safetensors,<lora:try2:0.8>,lyriel_v14.safetensors
15,TRUE,"closeup, a family portrait, momn, dad, kitchen in the background <lora:COOLKIDS_MERGE_V2.5:1>",COOLKIDS_MERGE_V2.5.safetensors,,lyriel_v14.safetensors
0,TRUE,"shukezouma, negative space, , shuimobysim , <lora:shuV2:0.8>, portrait of a woman standing , willow branches, (masterpiece, best quality:1.2), traditional chinese ink painting, <lora:shuimobysimV3:0.7>, modelshoot style, peaceful, (smile), looking at viewer, wearing long hanfu, hanfu, song, willow tree in background, wuchangshuo,",MoXinV1.safetensors,,revAnimated_v122.safetensors
1,TRUE,"1girl, tohsaka rin, solo, long hair, sweater, red sweater, looking at viewer, blue background, black hair, simple background, two side up, turtleneck, blue eyes, lips, closed mouth, ribbon, hair ribbon, bangs, turtleneck sweater, upper body, parted bangs, black ribbon, ribbed sweater, twintails, nose, <lora:3DMM_V12:0.8>",3DMM_V12.safetensors,<lora:3DMM_V12:0.8>,revAnimated_v122.safetensors
2,TRUE,"(masterpiece),(best quality),(ultra-detailed), (full body:1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing guitar, music, beret, holding guitar, jacket, blush, tree, :3, shirt, short hair, cherry blossoms, green headwear, blurry, brown hair, blush stickers, long sleeves, bangs, headphones, black hair, pink flower, (beautiful detailed face), (beautiful detailed eyes), <lora:blindbox_v1_mix:1>,",blindbox_v1_mix.safetensors,,revAnimated_v122.safetensors
3,TRUE,"[(white background:1.5),::5] (isometric:1.0), double exposure, bubble, mid shot, full body, // masterpiece, best quality, 1girl, (colorful),(finely detailed beautiful eyes and detailed face),cinematic lighting,bust shot,extremely detailed CG unity 8k wallpaper,black hair,long hair,black eyes,solo,smile,intricate skirt,((flying petal)),(Flowery meadow) sky, cloudy_sky, building, moonlight, moon, night, (dark theme:1.3), light, fantasy,looking at viewer, <lora:lihui4JXK-b2-bf16-128-128-1-re1-ep3-768-DA-5015fix:0.85>",GachaSplash4.safetensors,,revAnimated_v122.safetensors
4,TRUE,"<lora:FilmVelvia3:0.6>, 1girl, Floral motifs, luminous skin, enchanting gaze, embellished attire, natural lighting, shallow depth of field, romantic setting, dreamy pastel palette, whimsical details, captured on film",FilmVelvia3.safetensors,,revAnimated_v122.safetensors
5,TRUE,"<lora:mix4:0.5>,mix4,(8k, RAW photo, best quality, masterpiece:1.2), (realistic, photo-realistic:1.37),1girl,cute,cityscape, night, rain, wet, professional lighting, photon mapping, radiosity, physically-based rendering,",mix4.safetensors,,revAnimated_v122.safetensors
6,TRUE,"1girl, bare shoulders, black hair, brown hair, chinese clothes, dress, facial mark, fashi-girl, forehead mark, hair ornament, long hair, looking at viewer, red dress, solo, upper body,mature female,milf,graceful,navel,narrow waist,wide hips,large breasts,shiny,shiny skin,<lora:fashigirl-v5.5-lora-naivae-64dim:0.8>",fashigirl-v5.5-lora-naivae-64dim.safetensors,<lora:fashigirl-v5.5-lora-naivae-64dim:0.8>,revAnimated_v122.safetensors
7,TRUE,"masterpiece, best quality, 1girl, solo, long_hair, from top, light smile, panorama, perspective, looking_at_viewer, bangs, skirt, shirt, pink hair, colored inner hair, long_sleeves, bow, ribbon, twintails, hair_bow, heart, pantyhose, frills, shoes, choker, blunt_bangs, black_skirt, pink_eyes, frilled_skirt, pink_bow, platform_footwear, pink_theme, jirai_kei, full body, night, street, skyscraper, neon trim, panorama, perspective, starry sky, pink background, dark, shadow, <lora:animetarotV51:1>",animetarotV51.safetensors,,revAnimated_v122.safetensors
8,TRUE,"nikon RAW photo,8 k,Fujifilm XT3,masterpiece, best quality, 1girl,solo,realistic, photorealistic,ultra detailed, diamond stud earrings, long straight black hair, hazel eyes, serious expression, slender figure, wearing a black blazer and white blouse, standing against a city skyline at night iu1, <lora:iu_v35:1>",iu_v35.safetensors,,revAnimated_v122.safetensors
9,TRUE,"sam yang, 1girl, backlighting, bare shoulders, black choker, blurry, blurry background, blush, breasts, choker, cleavage, closed mouth, collarbone, earrings, forehead, freckles, hair over shoulder, jewelry, long hair, looking down, pointy nose, red lips, shadow, solo, thick eyebrows, thick eyelashes, upper body, white hair , ((masterpiece)) <lora:sam_yang_offset_right_filesize:1>",sam_yang_offset_right_filesize.safetensors,,revAnimated_v122.safetensors
10,TRUE,"masterpiece, best quality, 1girl, solo, long_hair, looking_at_viewer, smile, bangs, skirt, shirt, long_sleeves, hat, dress, bow, holding, closed_mouth, flower, frills, hair_flower, petals, bouquet, holding_flower, center_frills, bonnet, holding_bouquet, flower field, flower field, lineart, monochrome, <lora:animeoutlineV4_16:1>",animeoutlineV4_16.safetensors,,revAnimated_v122.safetensors
11,TRUE,"ghibli style, san \(mononoke hime\), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facepaint, floating hair, forest, fur cape, green eyes, jewelry, looking at viewer, medium breasts, nature, necklace, outdoors, parted bangs, shirt, short hair, sleeveless, sleeveless shirt, solo, tooth necklace, tree, upper body, white shirt , ((masterpiece)) <lora:ghibli_style_offset:1.07>",ghibli_style_offset.safetensors,,revAnimated_v122.safetensors
12,TRUE,"shz,((best quality)), ((masterpiece)), (detailed), realistic, multiple boys,(riding horse),mustache, looking at viewer, outdoors,house, amy,horse,<lora:xrs2.0:0.8>",xrs2.0.safetensors,<lora:xrs2.0:0.8>,revAnimated_v122.safetensors
13,TRUE,"<lora:hipoly3DModelLora_v20:0.6>, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelry, ornament, flower, lace trim, masterpiece, best quality, 8k, detailed skin texture, detailed cloth texture, beautiful detailed face, intricate details, ultra detailed, rim lighting, side lighting, cinematic light, ultra high res, 8k uhd, film grain,best shadow, delicate, RAW",hipoly_3dcg_v7-epoch-000012.safetensors,,revAnimated_v122.safetensors
14,TRUE,"(masterpiece, realistic:1.4), (extremely intricate:1.2)>, close shot , portrait,(upper body:1.2), (from front:1.3), 191971 dress, backless dress, (long dress:1.2), very long hair, breasts, bare shoulders, sky, ocean, water, looking at viewer, italian, head tilt, wind, cloud, sunlight, outdoor, 1girl, solo, BREAK, cinematic light, ultra high res, 8k uhd, film grain, perfect anatomy, exquisitely detailed skin, best shadow, delicate, RAW,highres,<lora:try2:0.8>",Colorwater_v4.safetensors,<lora:try2:0.8>,revAnimated_v122.safetensors
15,TRUE,"closeup, a family portrait, momn, dad, kitchen in the background <lora:COOLKIDS_MERGE_V2.5:1>",COOLKIDS_MERGE_V2.5.safetensors,,revAnimated_v122.safetensors
0,TRUE,"shukezouma, negative space, , shuimobysim , <lora:shuV2:0.8>, portrait of a woman standing , willow branches, (masterpiece, best quality:1.2), traditional chinese ink painting, <lora:shuimobysimV3:0.7>, modelshoot style, peaceful, (smile), looking at viewer, wearing long hanfu, hanfu, song, willow tree in background, wuchangshuo,",MoXinV1.safetensors,,Moyou_v1020.safetensors
1,TRUE,"1girl, tohsaka rin, solo, long hair, sweater, red sweater, looking at viewer, blue background, black hair, simple background, two side up, turtleneck, blue eyes, lips, closed mouth, ribbon, hair ribbon, bangs, turtleneck sweater, upper body, parted bangs, black ribbon, ribbed sweater, twintails, nose, <lora:3DMM_V12:0.8>",3DMM_V12.safetensors,<lora:3DMM_V12:0.8>,Moyou_v1020.safetensors
2,TRUE,"(masterpiece),(best quality),(ultra-detailed), (full body:1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing guitar, music, beret, holding guitar, jacket, blush, tree, :3, shirt, short hair, cherry blossoms, green headwear, blurry, brown hair, blush stickers, long sleeves, bangs, headphones, black hair, pink flower, (beautiful detailed face), (beautiful detailed eyes), <lora:blindbox_v1_mix:1>,",blindbox_v1_mix.safetensors,,Moyou_v1020.safetensors
3,TRUE,"[(white background:1.5),::5] (isometric:1.0), double exposure, bubble, mid shot, full body, // masterpiece, best quality, 1girl, (colorful),(finely detailed beautiful eyes and detailed face),cinematic lighting,bust shot,extremely detailed CG unity 8k wallpaper,black hair,long hair,black eyes,solo,smile,intricate skirt,((flying petal)),(Flowery meadow) sky, cloudy_sky, building, moonlight, moon, night, (dark theme:1.3), light, fantasy,looking at viewer, <lora:lihui4JXK-b2-bf16-128-128-1-re1-ep3-768-DA-5015fix:0.85>",GachaSplash4.safetensors,,Moyou_v1020.safetensors
4,TRUE,"<lora:FilmVelvia3:0.6>, 1girl, Floral motifs, luminous skin, enchanting gaze, embellished attire, natural lighting, shallow depth of field, romantic setting, dreamy pastel palette, whimsical details, captured on film",FilmVelvia3.safetensors,,Moyou_v1020.safetensors
5,TRUE,"<lora:mix4:0.5>,mix4,(8k, RAW photo, best quality, masterpiece:1.2), (realistic, photo-realistic:1.37),1girl,cute,cityscape, night, rain, wet, professional lighting, photon mapping, radiosity, physically-based rendering,",mix4.safetensors,,Moyou_v1020.safetensors
6,TRUE,"1girl, bare shoulders, black hair, brown hair, chinese clothes, dress, facial mark, fashi-girl, forehead mark, hair ornament, long hair, looking at viewer, red dress, solo, upper body,mature female,milf,graceful,navel,narrow waist,wide hips,large breasts,shiny,shiny skin,<lora:fashigirl-v5.5-lora-naivae-64dim:0.8>",fashigirl-v5.5-lora-naivae-64dim.safetensors,<lora:fashigirl-v5.5-lora-naivae-64dim:0.8>,Moyou_v1020.safetensors
7,TRUE,"masterpiece, best quality, 1girl, solo, long_hair, from top, light smile, panorama, perspective, looking_at_viewer, bangs, skirt, shirt, pink hair, colored inner hair, long_sleeves, bow, ribbon, twintails, hair_bow, heart, pantyhose, frills, shoes, choker, blunt_bangs, black_skirt, pink_eyes, frilled_skirt, pink_bow, platform_footwear, pink_theme, jirai_kei, full body, night, street, skyscraper, neon trim, panorama, perspective, starry sky, pink background, dark, shadow, <lora:animetarotV51:1>",animetarotV51.safetensors,,Moyou_v1020.safetensors
8,TRUE,"nikon RAW photo,8 k,Fujifilm XT3,masterpiece, best quality, 1girl,solo,realistic, photorealistic,ultra detailed, diamond stud earrings, long straight black hair, hazel eyes, serious expression, slender figure, wearing a black blazer and white blouse, standing against a city skyline at night iu1, <lora:iu_v35:1>",iu_v35.safetensors,,Moyou_v1020.safetensors
9,TRUE,"sam yang, 1girl, backlighting, bare shoulders, black choker, blurry, blurry background, blush, breasts, choker, cleavage, closed mouth, collarbone, earrings, forehead, freckles, hair over shoulder, jewelry, long hair, looking down, pointy nose, red lips, shadow, solo, thick eyebrows, thick eyelashes, upper body, white hair , ((masterpiece)) <lora:sam_yang_offset_right_filesize:1>",sam_yang_offset_right_filesize.safetensors,,Moyou_v1020.safetensors
10,TRUE,"masterpiece, best quality, 1girl, solo, long_hair, looking_at_viewer, smile, bangs, skirt, shirt, long_sleeves, hat, dress, bow, holding, closed_mouth, flower, frills, hair_flower, petals, bouquet, holding_flower, center_frills, bonnet, holding_bouquet, flower field, flower field, lineart, monochrome, <lora:animeoutlineV4_16:1>",animeoutlineV4_16.safetensors,,Moyou_v1020.safetensors
11,TRUE,"ghibli style, san \(mononoke hime\), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facepaint, floating hair, forest, fur cape, green eyes, jewelry, looking at viewer, medium breasts, nature, necklace, outdoors, parted bangs, shirt, short hair, sleeveless, sleeveless shirt, solo, tooth necklace, tree, upper body, white shirt , ((masterpiece)) <lora:ghibli_style_offset:1.07>",ghibli_style_offset.safetensors,,Moyou_v1020.safetensors
12,TRUE,"shz,((best quality)), ((masterpiece)), (detailed), realistic, multiple boys,(riding horse),mustache, looking at viewer, outdoors,house, amy,horse,<lora:xrs2.0:0.8>",xrs2.0.safetensors,<lora:xrs2.0:0.8>,Moyou_v1020.safetensors
13,TRUE,"<lora:hipoly3DModelLora_v20:0.6>, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelry, ornament, flower, lace trim, masterpiece, best quality, 8k, detailed skin texture, detailed cloth texture, beautiful detailed face, intricate details, ultra detailed, rim lighting, side lighting, cinematic light, ultra high res, 8k uhd, film grain,best shadow, delicate, RAW",hipoly_3dcg_v7-epoch-000012.safetensors,,Moyou_v1020.safetensors
14,TRUE,"(masterpiece, realistic:1.4), (extremely intricate:1.2)>, close shot , portrait,(upper body:1.2), (from front:1.3), 191971 dress, backless dress, (long dress:1.2), very long hair, breasts, bare shoulders, sky, ocean, water, looking at viewer, italian, head tilt, wind, cloud, sunlight, outdoor, 1girl, solo, BREAK, cinematic light, ultra high res, 8k uhd, film grain, perfect anatomy, exquisitely detailed skin, best shadow, delicate, RAW,highres,<lora:try2:0.8>",Colorwater_v4.safetensors,<lora:try2:0.8>,Moyou_v1020.safetensors
15,TRUE,"closeup, a family portrait, momn, dad, kitchen in the background <lora:COOLKIDS_MERGE_V2.5:1>",COOLKIDS_MERGE_V2.5.safetensors,,Moyou_v1020.safetensors
0,TRUE,"shukezouma, negative space, , shuimobysim , <lora:shuV2:0.8>, portrait of a woman standing , willow branches, (masterpiece, best quality:1.2), traditional chinese ink painting, <lora:shuimobysimV3:0.7>, modelshoot style, peaceful, (smile), looking at viewer, wearing long hanfu, hanfu, song, willow tree in background, wuchangshuo,",MoXinV1.safetensors,,AWPainting 1.1_v1.1.safetensors
1,TRUE,"1girl, tohsaka rin, solo, long hair, sweater, red sweater, looking at viewer, blue background, black hair, simple background, two side up, turtleneck, blue eyes, lips, closed mouth, ribbon, hair ribbon, bangs, turtleneck sweater, upper body, parted bangs, black ribbon, ribbed sweater, twintails, nose, <lora:3DMM_V12:0.8>",3DMM_V12.safetensors,<lora:3DMM_V12:0.8>,AWPainting 1.1_v1.1.safetensors
2,TRUE,"(masterpiece),(best quality),(ultra-detailed), (full body:1.2), 1girl,chibi,cute, smile, open mouth, flower, outdoors, playing guitar, music, beret, holding guitar, jacket, blush, tree, :3, shirt, short hair, cherry blossoms, green headwear, blurry, brown hair, blush stickers, long sleeves, bangs, headphones, black hair, pink flower, (beautiful detailed face), (beautiful detailed eyes), <lora:blindbox_v1_mix:1>,",blindbox_v1_mix.safetensors,,AWPainting 1.1_v1.1.safetensors
3,TRUE,"[(white background:1.5),::5] (isometric:1.0), double exposure, bubble, mid shot, full body, // masterpiece, best quality, 1girl, (colorful),(finely detailed beautiful eyes and detailed face),cinematic lighting,bust shot,extremely detailed CG unity 8k wallpaper,black hair,long hair,black eyes,solo,smile,intricate skirt,((flying petal)),(Flowery meadow) sky, cloudy_sky, building, moonlight, moon, night, (dark theme:1.3), light, fantasy,looking at viewer, <lora:lihui4JXK-b2-bf16-128-128-1-re1-ep3-768-DA-5015fix:0.85>",GachaSplash4.safetensors,,AWPainting 1.1_v1.1.safetensors
4,TRUE,"<lora:FilmVelvia3:0.6>, 1girl, Floral motifs, luminous skin, enchanting gaze, embellished attire, natural lighting, shallow depth of field, romantic setting, dreamy pastel palette, whimsical details, captured on film",FilmVelvia3.safetensors,,AWPainting 1.1_v1.1.safetensors
5,TRUE,"<lora:mix4:0.5>,mix4,(8k, RAW photo, best quality, masterpiece:1.2), (realistic, photo-realistic:1.37),1girl,cute,cityscape, night, rain, wet, professional lighting, photon mapping, radiosity, physically-based rendering,",mix4.safetensors,,AWPainting 1.1_v1.1.safetensors
6,TRUE,"1girl, bare shoulders, black hair, brown hair, chinese clothes, dress, facial mark, fashi-girl, forehead mark, hair ornament, long hair, looking at viewer, red dress, solo, upper body,mature female,milf,graceful,navel,narrow waist,wide hips,large breasts,shiny,shiny skin,<lora:fashigirl-v5.5-lora-naivae-64dim:0.8>",fashigirl-v5.5-lora-naivae-64dim.safetensors,<lora:fashigirl-v5.5-lora-naivae-64dim:0.8>,AWPainting 1.1_v1.1.safetensors
7,TRUE,"masterpiece, best quality, 1girl, solo, long_hair, from top, light smile, panorama, perspective, looking_at_viewer, bangs, skirt, shirt, pink hair, colored inner hair, long_sleeves, bow, ribbon, twintails, hair_bow, heart, pantyhose, frills, shoes, choker, blunt_bangs, black_skirt, pink_eyes, frilled_skirt, pink_bow, platform_footwear, pink_theme, jirai_kei, full body, night, street, skyscraper, neon trim, panorama, perspective, starry sky, pink background, dark, shadow, <lora:animetarotV51:1>",animetarotV51.safetensors,,AWPainting 1.1_v1.1.safetensors
8,TRUE,"nikon RAW photo,8 k,Fujifilm XT3,masterpiece, best quality, 1girl,solo,realistic, photorealistic,ultra detailed, diamond stud earrings, long straight black hair, hazel eyes, serious expression, slender figure, wearing a black blazer and white blouse, standing against a city skyline at night iu1, <lora:iu_v35:1>",iu_v35.safetensors,,AWPainting 1.1_v1.1.safetensors
9,TRUE,"sam yang, 1girl, backlighting, bare shoulders, black choker, blurry, blurry background, blush, breasts, choker, cleavage, closed mouth, collarbone, earrings, forehead, freckles, hair over shoulder, jewelry, long hair, looking down, pointy nose, red lips, shadow, solo, thick eyebrows, thick eyelashes, upper body, white hair , ((masterpiece)) <lora:sam_yang_offset_right_filesize:1>",sam_yang_offset_right_filesize.safetensors,,AWPainting 1.1_v1.1.safetensors
10,TRUE,"masterpiece, best quality, 1girl, solo, long_hair, looking_at_viewer, smile, bangs, skirt, shirt, long_sleeves, hat, dress, bow, holding, closed_mouth, flower, frills, hair_flower, petals, bouquet, holding_flower, center_frills, bonnet, holding_bouquet, flower field, flower field, lineart, monochrome, <lora:animeoutlineV4_16:1>",animeoutlineV4_16.safetensors,,AWPainting 1.1_v1.1.safetensors
11,TRUE,"ghibli style, san \(mononoke hime\), 1girl, armlet, bangs, black hair, black undershirt, breasts, cape, circlet, earrings, facepaint, floating hair, forest, fur cape, green eyes, jewelry, looking at viewer, medium breasts, nature, necklace, outdoors, parted bangs, shirt, short hair, sleeveless, sleeveless shirt, solo, tooth necklace, tree, upper body, white shirt , ((masterpiece)) <lora:ghibli_style_offset:1.07>",ghibli_style_offset.safetensors,,AWPainting 1.1_v1.1.safetensors
12,TRUE,"shz,((best quality)), ((masterpiece)), (detailed), realistic, multiple boys,(riding horse),mustache, looking at viewer, outdoors,house, amy,horse,<lora:xrs2.0:0.8>",xrs2.0.safetensors,<lora:xrs2.0:0.8>,AWPainting 1.1_v1.1.safetensors
13,TRUE,"<lora:hipoly3DModelLora_v20:0.6>, 1girl, looking at viewer, upper body, 3D, realistic, large breasts, excessively frilled princess dress, draped clothes, jewelry, ornament, flower, lace trim, masterpiece, best quality, 8k, detailed skin texture, detailed cloth texture, beautiful detailed face, intricate details, ultra detailed, rim lighting, side lighting, cinematic light, ultra high res, 8k uhd, film grain,best shadow, delicate, RAW",hipoly_3dcg_v7-epoch-000012.safetensors,,AWPainting 1.1_v1.1.safetensors
14,TRUE,"(masterpiece, realistic:1.4), (extremely intricate:1.2)>, close shot , portrait,(upper body:1.2), (from front:1.3), 191971 dress, backless dress, (long dress:1.2), very long hair, breasts, bare shoulders, sky, ocean, water, looking at viewer, italian, head tilt, wind, cloud, sunlight, outdoor, 1girl, solo, BREAK, cinematic light, ultra high res, 8k uhd, film grain, perfect anatomy, exquisitely detailed skin, best shadow, delicate, RAW,highres,<lora:try2:0.8>",Colorwater_v4.safetensors,<lora:try2:0.8>,AWPainting 1.1_v1.1.safetensors
15,TRUE,"closeup, a family portrait, momn, dad, kitchen in the background <lora:COOLKIDS_MERGE_V2.5:1>",COOLKIDS_MERGE_V2.5.safetensors,,AWPainting 1.1_v1.1.safetensors
